Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Response To Cytokine (GO:0034097)	4/125	1.386574e-06	4.672756e-04	0	0	6.566942e+01	8.857934e+02	IFITM3;IFITM2;ANXA1;TIMP1
GO_Biological_Process_2023	Regulation Of Viral Entry Into Host Cell (GO:0046596)	3/44	3.555205e-06	5.990521e-04	0	0	1.326718e+02	1.664647e+03	IFITM3;IFITM2;LGALS1
GO_Biological_Process_2023	Response To Type II Interferon (GO:0034341)	3/80	2.172993e-05	2.440996e-03	0	0	7.051594e+01	7.571169e+02	IFITM3;IFITM2;CCL21
GO_Biological_Process_2023	Response To Interferon-Alpha (GO:0035455)	2/17	6.151006e-05	4.662140e-03	0	0	2.219000e+02	2.151611e+03	IFITM3;IFITM2
GO_Biological_Process_2023	Negative Regulation Of Viral Entry Into Host Cell (GO:0046597)	2/18	6.917121e-05	4.662140e-03	0	0	2.080208e+02	1.992616e+03	IFITM3;IFITM2
GO_Biological_Process_2023	Negative Regulation Of Viral Life Cycle (GO:1903901)	2/20	8.583036e-05	4.820805e-03	0	0	1.848889e+02	1.731140e+03	IFITM3;IFITM2
GO_Biological_Process_2023	Gliogenesis (GO:0042063)	2/24	1.244809e-04	5.992868e-03	0	0	1.512424e+02	1.359875e+03	ANXA1;CD9
GO_Biological_Process_2023	Peptide Cross-Linking (GO:0018149)	2/27	1.581178e-04	6.158608e-03	0	0	1.330733e+02	1.164681e+03	ANXA1;TGM2
GO_Biological_Process_2023	Apoptotic Cell Clearance (GO:0043277)	2/28	1.702127e-04	6.158608e-03	0	0	1.279487e+02	1.110398e+03	ANXA1;TGM2
GO_Biological_Process_2023	Response To Interferon-Beta (GO:0035456)	2/29	1.827480e-04	6.158608e-03	0	0	1.232037e+02	1.060464e+03	IFITM3;IFITM2
GO_Biological_Process_2023	Type I Interferon-Mediated Signaling Pathway (GO:0060337)	2/37	2.988222e-04	8.854603e-03	0	0	9.500476e+01	7.710265e+02	IFITM3;IFITM2
GO_Biological_Process_2023	Cellular Response To Type I Interferon (GO:0071357)	2/38	3.152975e-04	8.854603e-03	0	0	9.236111e+01	7.446147e+02	IFITM3;IFITM2
GO_Biological_Process_2023	Negative Regulation Of Proteolysis (GO:0045861)	2/41	3.673317e-04	9.522368e-03	0	0	8.524359e+01	6.742125e+02	CST3;TIMP1
GO_Biological_Process_2023	Interferon-Mediated Signaling Pathway (GO:0140888)	2/49	5.251261e-04	1.264054e-02	0	0	7.070567e+01	5.339602e+02	IFITM3;IFITM2
GO_Biological_Process_2023	Receptor Internalization (GO:0031623)	2/51	5.688783e-04	1.264181e-02	0	0	6.781293e+01	5.066876e+02	RAMP2;CD9
GO_Biological_Process_2023	Negative Regulation Of Viral Genome Replication (GO:0045071)	2/53	6.143436e-04	1.264181e-02	0	0	6.514706e+01	4.817596e+02	IFITM3;IFITM2
GO_Biological_Process_2023	Negative Regulation Of Protein Catabolic Process (GO:0042177)	2/54	6.377173e-04	1.264181e-02	0	0	6.389103e+01	4.700856e+02	CST3;TIMP1
GO_Biological_Process_2023	Negative Regulation Of Peptidase Activity (GO:0010466)	2/60	7.869018e-04	1.442451e-02	0	0	5.726437e+01	4.092917e+02	CST3;TIMP1
GO_Biological_Process_2023	Negative Regulation Of Viral Process (GO:0048525)	2/61	8.132514e-04	1.442451e-02	0	0	5.629096e+01	4.004804e+02	IFITM3;IFITM2
