leiden,Cholangiocyte,Endothelial,Fibroblast_Stellate,Hepatocyte,Mast,Myeloid,NK_cells,Plasma_cells,T_cells
0,0,0,0,0,0,0,0,0,11622
1,0,0,0,0,0,0,7599,0,0
2,0,0,0,0,0,0,0,0,7253
3,0,0,0,0,0,5910,0,0,0
4,0,5544,0,0,0,0,0,0,0
5,0,0,0,0,0,0,3693,0,0
6,3285,0,0,0,0,0,0,0,0
7,0,0,0,0,0,2739,0,0,0
8,0,2294,0,0,0,0,0,0,0
9,0,0,0,2260,0,0,0,0,0
10,0,0,0,0,0,2256,0,0,0
11,0,0,0,1939,0,0,0,0,0
12,0,0,0,0,0,0,0,0,1598
13,0,0,0,0,0,0,0,903,0
14,0,0,0,0,0,0,582,0,0
15,0,0,0,0,0,0,0,330,0
16,0,0,296,0,0,0,0,0,0
17,151,0,0,0,0,0,0,0,0
18,109,0,0,0,0,0,0,0,0
19,0,0,0,0,92,0,0,0,0
