names,scores,logfoldchanges,pvals,pvals_adj
TPT1,11.617587,,3.3547731955082e-31,1.130357280494533e-26
EFEMP1,10.032161,,1.1008124120823331e-23,1.8545386706351067e-19
PDLIM1,9.598921,,8.078587785330914e-22,9.073331227964659e-18
RPL37,9.242685,,2.4038676386825032e-20,2.0248979054442067e-16
TFPI,8.9857645,,2.569421652307772e-19,1.7314818630571612e-15
RPS12,8.900124,,5.578437460461133e-19,3.1326645298796237e-15
RPL13,8.867739,,7.464611372239085e-19,3.593037365374625e-15
RPL36A,8.69358,,3.5119593302139804e-18,1.4791494709028732e-14
RPS15A,8.364692,,6.027240147091865e-17,2.030818295161133e-13
RPS27,8.191972,,2.5698167990519044e-16,7.871582475204988e-13
RBP1,8.099854,,5.502517672474242e-16,1.4261679265872855e-12
RPL31,8.06459,,7.348186018644621e-16,1.7684984265157989e-12
RPL39,7.9731927,,1.5462692069421585e-15,3.4733329772472726e-12
RPL34,7.9451256,,1.939941626274603e-15,3.912510744791397e-12
RPS24,7.9429665,,1.9740215664941457e-15,3.912510744791397e-12
RPL30,7.8271003,,4.9925135148946876e-15,8.904369481880347e-12
RPS8,7.8263803,,5.021161635772737e-15,8.904369481880347e-12
CST3,7.7810416,,7.192991576978803e-15,1.2118032909736188e-11
RPLP1,7.764489,,8.197497319939278e-15,1.3152689271334954e-11
RPS18,7.7227483,,1.1384774437428943e-14,1.7436299540669582e-11
RPLP2,7.716991,,1.1910798311453924e-14,1.7448801665483848e-11
RPS29,7.699719,,1.3636569837095542e-14,1.914460767046238e-11
RPL37A,7.440639,,1.0019950762879061e-13,1.3504488840177882e-10
RPS17,7.3463626,,2.036735553758168e-13,2.639452605704912e-10
RPS26,7.295266,,2.9806933470542466e-13,3.719684505023918e-10
ANXA1,7.195952,,6.202642623875709e-13,7.463994306031006e-10
RPS3A,7.1779604,,7.075906295571692e-13,8.221227128379054e-10
RPS3,7.154931,,8.37150074869952e-13,9.402311540889388e-10
CD9,7.1059937,,1.1945990475321757e-12,1.2984135583080364e-09
RPL10,7.082245,,1.4183797529829768e-12,1.4934652311565131e-09
RPS21,7.0584955,,1.683148031585434e-12,1.718545144734534e-09
RPS6,6.9073653,,4.937366445156501e-12,4.753132142945803e-09
RPL3,6.8994493,,5.220456185763358e-12,4.88605696453085e-09
TMSB4X,6.8785787,,6.045259719480964e-12,5.5051075942754485e-09
VWF,6.871382,,6.358280596689001e-12,5.637787011179979e-09
TGM2,6.815248,,9.410121430174467e-12,7.926615786707461e-09
RPL26,6.7144947,,1.887190225921444e-11,1.550902133468223e-08
RPS14,6.7108965,,1.934324441880861e-11,1.5517887558269937e-08
RPL12,6.7036996,,2.0320765492961914e-11,1.5922973779531596e-08
EIF5A,6.5856743,,4.528255501991171e-11,3.316848714871533e-08
IFITM2,6.5396156,,6.1677157723269e-11,4.421596068782608e-08
RPL18A,6.3784103,,1.7893578202107533e-10,1.2058124478836226e-07
RPL32,6.29277,,3.118507470756415e-10,2.0602939356797383e-07
CYR61,6.2726192,,3.550247638529171e-10,2.3004239217808056e-07
RPL19,6.264703,,3.735373084623089e-10,2.3747105794960445e-07
ITM2B,6.2567863,,3.929910971089727e-10,2.452118893701801e-07
IFITM3,6.253188,,4.021573993192361e-10,2.463689347756789e-07
RPL29,6.2351966,,4.5121170668672646e-10,2.667215306158344e-07
RPL9,6.207849,,5.371471679833075e-10,3.120454599660269e-07
OAZ1,6.143799,,8.057096872289416e-10,4.524597033581993e-07
RPS16,6.1049366,,1.0284148540824137e-09,5.680559031713581e-07
RPS25,6.0725517,,1.258936308173881e-09,6.841709672195282e-07
SEPW1,6.0646353,,1.3225344209639318e-09,7.073249965072812e-07
TIMP1,5.991229,,2.082608771738681e-09,1.0632033326509563e-06
RPS7,5.886158,,3.9527693906834466e-09,1.9585972330836477e-06
UQCRB,5.824986,,5.711735793042673e-09,2.7493032258682827e-06
RPL22,5.737187,,9.626212916355643e-09,4.504800250051209e-06
RPL38,5.6580234,,1.5312634836904083e-08,6.972215110738462e-06
EGR1,5.619881,,1.9108909506164033e-08,8.361760998710272e-06
RPL18,5.5975714,,2.17375512945228e-08,9.390064786123735e-06
RPL27A,5.544316,,2.9510565590373926e-08,1.2586443000026064e-05
GNB2L1,5.5061736,,3.667170652092445e-08,1.5445205993950354e-05
RPL13A,5.4802656,,4.24688028935907e-08,1.7665973391316607e-05
RPL21,5.4054203,,6.465665942281423e-08,2.6567579056003693e-05
PDLIM3,5.3852696,,7.233620311005808e-08,2.9015428899884486e-05
PCAT19,5.3744745,,7.680637826230595e-08,3.0446048343178076e-05
CTSH,5.3572025,,8.452041016238496e-08,3.311431046524882e-05
RPS2,5.3507257,,8.760235506491307e-08,3.3927284500657254e-05
YBX3,5.3449683,,9.043298700542793e-08,3.4625557547282826e-05
RPS23,5.3392105,,9.335207923237727e-08,3.5341628737704715e-05
RPS19,5.310424,,1.0937045084729734e-07,4.081697480583014e-05
RPS4X,5.3089848,,1.102375707048894e-07,4.081697480583014e-05
EEF1B2,5.2269425,,1.7233590917229643e-07,6.311615351794953e-05
RPL7,5.219746,,1.7916868890270142e-07,6.422244472220873e-05
WARS,5.196717,,2.0283917994552363e-07,7.194171925352076e-05
ID1,5.1751266,,2.2775645595194346e-07,7.97258480446226e-05
RPL5,5.1736875,,2.2951882413273557e-07,7.97258480446226e-05
RPS10,5.1492186,,2.6157386765164053e-07,8.99333662923916e-05
MARCKSL1,5.117553,,3.0952467851884104e-07,0.0001053446921011498
RPL11,5.1081977,,3.252464470645398e-07,0.00010958853787392603
RPL23,5.0995617,,3.404411043527395e-07,0.00011357250069367528
VAMP5,5.0758123,,3.858435144984725e-07,0.00012745697428932876
ID3,5.0175195,,5.234288468903005e-07,0.0001679658244487789
CEBPD,4.9153266,,8.863448919741695e-07,0.00027910752140352963
FAU,4.8807826,,1.0566559135654218e-06,0.00032965707733030857
BGN,4.862791,,1.1574199300432637e-06,0.00035133429840430384
RPLP0,4.8555946,,1.2002615304871282e-06,0.00036108582150208297
ECSCR-1,4.8512764,,1.2266945018389803e-06,0.0003657720756191381
CYB5R3,4.8483977,,1.2446266503324014e-06,0.00036786359961666606
PTP4A2,4.8145733,,1.4751469324964025e-06,0.0004248171003720836
RPL36,4.7663555,,1.8758798862120532e-06,0.0005311419906388986
RPL15,4.726054,,2.2892443915562624e-06,0.0006427816710758059
RPL7A,4.7231755,,2.3219014537130474e-06,0.0006444594569774346
KRT18,4.720297,,2.35500556820695e-06,0.0006444594569774346
GPX1,4.665602,,3.0771439441371134e-06,0.0008228673655059992
CTHRC1,4.5310245,,5.869832653918645e-06,0.0015213703187779602
CLEC14A,4.4878445,,7.194741704548326e-06,0.0018505315037637504
RPL41,4.4756103,,7.619340747858842e-06,0.0019448944481693625
PCBD1,4.467694,,7.906737010515909e-06,0.0020030796754310002
RPL8,4.4324303,,9.317691033794688e-06,0.00234291254994536
ENG,4.430271,,9.411469435242867e-06,0.002348963341859801
RPS13,4.400045,,1.082283886949583e-05,0.002661786371305055
EFNA1,4.357585,,1.3150559878978636e-05,0.0032108330765384502
FOS,4.348229,,1.3724123231556723e-05,0.0033267669652091527
SNHG8,4.338154,,1.436846544347466e-05,0.0034580791046602507
TUBB4B,4.2928147,,1.764222537648137e-05,0.004215866254150095
MRPS6,4.2561116,,2.080128567227037e-05,0.0049357642214188585
ATP5EP2,4.244597,,2.1898664646103538e-05,0.005159815430670018
